Line #,Key,en Version,ru Translation
437,ru.layouts.unsupported_browser.Safari,Safari,Safari
438,ru.layouts.unsupported_browser.admin,Admin,Admin
439,ru.layouts.unsupported_browser.sign_out,Sign Out,Sign Out
440,ru.layouts.unsupported_browser.js_link_title,JumpStart Georgia - We communicate data better!,JumpStart Georgia - We communicate data better!
441,ru.layouts.unsupported_browser.js_link_text,Built by,Built by
442,ru.layouts.reviewer.copy,Copy To Clipboard...,Copy To Clipboard...
443,ru.layouts.reviewer.copied,Copied!,Copied!
444,ru.layouts.storybuilder.source,Source,Source
445,ru.layouts.storybuilder.target,Target,Target
446,ru.shared.grid.no_stories,Oh no - no stories could be found!,Oh no - no stories could be found!
447,ru.shared.story_nav_modals.copied,Copied!,Copied!
448,ru.admin.index.title,Administration Section,Administration Section
449,ru.admin.index.users,Users,Users
450,ru.admin.users.edit.title,Editing User,Editing User
451,ru.admin.users.index.title,Users,Users
452,ru.admin.users.new.title,New User,New User
453,ru.admin.users.show.title,User Details,User Details
454,ru.root.index,,
455,ru.root.about.title,About Chai Khana,About Chai Khana
456,ru.root.embed.home_link,Built on Chai Khana,Built on Chai Khana
457,ru.stories.index,,
458,ru.stories.new.title,Story Settings Form,Story Settings Form
459,ru.stories.edit.title,Story Settings Form,Story Settings Form
460,ru.stories.form.placeholder.title,Title of Story,Title of Story
461,ru.stories.form.placeholder.permalink,URL to the story,URL to the story
462,ru.stories.form.placeholder.author,Author(s) of the article,Author(s) of the article
463,ru.stories.form.placeholder.media_author,Author(s) of photos and/or videos,Author(s) of photos and/or videos
464,ru.stories.form.placeholder.translation_author,Author(s) that translated the story into this language,Author(s) that translated the story into this language
465,ru.stories.form.hint.title,Story title will appear at the top of your story,Story title will appear at the top of your story
466,ru.stories.form.hint.permalink,"The default URL is the title of the story, but you can change it if desired","The default URL is the title of the story, but you can change it if desired"
467,ru.stories.form.hint.author,Select the author(s) of the story to allow the story to appear on their webpage.,Select the author(s) of the story to allow the story to appear on their webpage.
468,ru.stories.form.hint.media_author,Author names will appear below the Story Author names,Author names will appear below the Story Author names
469,ru.stories.form.hint.translation_author,Author names will appear below the Photo and Video Author names,Author names will appear below the Photo and Video Author names
470,ru.stories.form.hint.published,Published stories are available for the world to view,Published stories are available for the world to view
471,ru.stories.form.hint.publish_home_page,"If checked, your published story will appear on the site's homepage","If checked, your published story will appear on the site's homepage"
472,ru.stories.form.hint.template,Choose template to apply styling to story,Choose template to apply styling to story
473,ru.stories.form.hint.thumbnail,Image that is used to show the story on the home page when the story is published (jpg and png only; 4MB file size limit),Image that is used to show the story on the home page when the story is published (jpg and png only; 4MB file size limit)
474,ru.stories.form.hint.editor,Person that created the story record in this website,Person that created the story record in this website
475,ru.stories.form.hint.editors,Select people that you want to give access to edit the story,Select people that you want to give access to edit the story
476,ru.stories.form.hint.about,Short summary of story that will be used on the home page and when you story is shared,Short summary of story that will be used on the home page and when you story is shared
477,ru.stories.form.hint.locale,Select the language of your story. Allows users to filter stories by a language.,Select the language of your story. Allows users to filter stories by a language.
478,ru.stories.form.hint.categories,Select the category(s) your story belongs to.  Allows users to filter stories by a category.,Select the category(s) your story belongs to.  Allows users to filter stories by a category.
479,ru.stories.form.hint.tag_list,"Enter text to find existing tags.  If your tag does not exist yet, press 'Enter' to add the new tag to the list.","Enter text to find existing tags.  If your tag does not exist yet, press 'Enter' to add the new tag to the list."
480,ru.stories.form.hint.story_type,Select the type of your story.,Select the type of your story.
481,ru.stories.form.hint.theme,Select the theme(s) your story belongs to.,Select the theme(s) your story belongs to.
482,ru.stories.form.hint.in_theme_slider,"If checked, this story will appear in the slider at the top of the theme page.","If checked, this story will appear in the slider at the top of the theme page."
483,ru.stories.collaborators.title,Collaborators for '%{title}',Collaborators for '%{title}'
484,ru.stories.collaborators.owner_header,Story Author,Story Author
485,ru.stories.collaborators.collaborators_header,Story Collaborators,Story Collaborators
486,ru.stories.collaborators.explanation,A story collaborator is someone that has access to edit this story.,A story collaborator is someone that has access to edit this story.
487,ru.stories.collaborators.editors_header,Editors,Editors
488,ru.stories.collaborators.editor_explanation,An Editor has access to add/edit the story and translate the story into any language. An Editor can also add collaborators and publish the story.,An Editor has access to add/edit the story and translate the story into any language. An Editor can also add collaborators and publish the story.
489,ru.stories.collaborators.translators_header,Translators,Translators
